127.0.0.1 - - [12/Mar/2025:20:50:01 +0700] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [12/Mar/2025:20:50:03 +0700] "GET /Project3/dashboard.jsp HTTP/1.1" 200 7203
0:0:0:0:0:0:0:1 - - [12/Mar/2025:20:50:03 +0700] "GET /Project3/style.css HTTP/1.1" 200 3263
0:0:0:0:0:0:0:1 - - [12/Mar/2025:20:50:16 +0700] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [12/Mar/2025:20:52:27 +0700] "GET /Project3/dashboard.jsp HTTP/1.1" 200 7016
0:0:0:0:0:0:0:1 - - [12/Mar/2025:20:52:27 +0700] "GET /Project3/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2025:20:53:50 +0700] "GET /Project3/dashboard.jsp HTTP/1.1" 200 6897
0:0:0:0:0:0:0:1 - - [12/Mar/2025:20:53:50 +0700] "GET /Project3/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2025:20:54:01 +0700] "GET /Project3/dashboard.jsp HTTP/1.1" 200 6893
0:0:0:0:0:0:0:1 - - [12/Mar/2025:20:54:12 +0700] "GET /Project3/dashboard.jsp HTTP/1.1" 200 6897
0:0:0:0:0:0:0:1 - - [12/Mar/2025:20:54:56 +0700] "GET /Project3/dashboard.jsp HTTP/1.1" 200 6806
0:0:0:0:0:0:0:1 - - [12/Mar/2025:20:54:56 +0700] "GET /Project3/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2025:20:56:52 +0700] "GET /Project3/dashboard.jsp HTTP/1.1" 200 4639
0:0:0:0:0:0:0:1 - - [12/Mar/2025:20:56:52 +0700] "GET /Project3/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2025:20:57:20 +0700] "GET /Project3/dashboard.jsp HTTP/1.1" 200 4640
0:0:0:0:0:0:0:1 - - [12/Mar/2025:20:58:14 +0700] "GET /Project3/dashboard.jsp HTTP/1.1" 200 4647
0:0:0:0:0:0:0:1 - - [12/Mar/2025:20:58:14 +0700] "GET /Project3/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2025:20:59:35 +0700] "GET /Project3/dashboard.jsp HTTP/1.1" 200 4627
0:0:0:0:0:0:0:1 - - [12/Mar/2025:20:59:35 +0700] "GET /Project3/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2025:21:00:45 +0700] "GET /Project3/dashboard.jsp HTTP/1.1" 200 4627
0:0:0:0:0:0:0:1 - - [12/Mar/2025:21:00:45 +0700] "GET /Project3/style.css HTTP/1.1" 200 3867
0:0:0:0:0:0:0:1 - - [12/Mar/2025:21:00:46 +0700] "GET /Project3/login.jsp HTTP/1.1" 200 2361
0:0:0:0:0:0:0:1 - - [12/Mar/2025:21:00:46 +0700] "GET /Project3/styles.css HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [12/Mar/2025:21:01:04 +0700] "POST /Project3/user HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Mar/2025:21:01:04 +0700] "GET /Project3/dashboard.jsp HTTP/1.1" 200 4627
0:0:0:0:0:0:0:1 - - [12/Mar/2025:21:01:04 +0700] "GET /Project3/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2025:21:02:19 +0700] "GET /Project3/dashboard.jsp HTTP/1.1" 200 4633
0:0:0:0:0:0:0:1 - - [12/Mar/2025:21:02:19 +0700] "GET /Project3/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2025:21:02:44 +0700] "GET /Project3/dashboard.jsp HTTP/1.1" 200 4607
0:0:0:0:0:0:0:1 - - [12/Mar/2025:21:02:44 +0700] "GET /Project3/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2025:21:02:53 +0700] "GET /Project3/dashboard.jsp HTTP/1.1" 200 4603
